table_index,row_index,scraped_at,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,time,player1,player2,score,tournament,round,source_url,source_page
1,855,2025-08-25 14:58:55,Zhangjiagang challenger,S,1,2,3,4,5,H,A,,,Zhangjiagang challenger,,,,,https://www.tennisexplorer.com/results/,results
1,856,2025-08-25 14:58:55,04:00,Uesugi K.,1,,,,,,3.46,1.28,04:00,Uesugi K.,,,,,https://www.tennisexplorer.com/results/,results
1,857,2025-08-25 14:58:55,04:00,Delaney J.(2),0,,,,,,,,04:00,,,,,,https://www.tennisexplorer.com/results/,results
1,858,2025-08-25 14:58:55,04:10,Uchida K.(6),2,6,6,,,,3.46,1.28,04:10,,,,,,https://www.tennisexplorer.com/results/,results
1,859,2025-08-25 14:58:55,04:10,Sun Q.,0,1,3,,,,,,04:10,Sun Q.,,,,,https://www.tennisexplorer.com/results/,results
1,860,2025-08-25 14:58:55,04:10,Yuzuki T.,2,6,3,6,,,4.67,1.16,04:10,Yuzuki T.,,,,,https://www.tennisexplorer.com/results/,results
1,861,2025-08-25 14:58:55,04:10,Leong M.(10),1,3,6,2,,,,,04:10,,,,,,https://www.tennisexplorer.com/results/,results
1,862,2025-08-25 14:58:55,04:10,Watt J.,2,6,6,,,,4.67,1.16,04:10,Watt J.,,,,,https://www.tennisexplorer.com/results/,results
1,863,2025-08-25 14:58:55,04:10,Watanabe S.,0,3,4,,,,,,04:10,Watanabe S.,,,,,https://www.tennisexplorer.com/results/,results
1,864,2025-08-25 14:58:55,04:40,Liu H.,2,6,6,,,,3.64,1.25,04:40,Liu H.,,,,,https://www.tennisexplorer.com/results/,results
1,865,2025-08-25 14:58:55,04:40,Kusuhara Y.(12),0,3,2,,,,,,04:40,,,,,,https://www.tennisexplorer.com/results/,results
1,866,2025-08-25 14:58:55,05:55,Nam J.(11),1,6,0,,,,3.64,1.25,05:55,,,,,,https://www.tennisexplorer.com/results/,results
1,867,2025-08-25 14:58:55,05:55,Kaliyanda Poonacha N.,0,4,0,,,,,,05:55,Kaliyanda Poonacha N.,,,,,https://www.tennisexplorer.com/results/,results
1,868,2025-08-25 14:58:55,06:00,Huang T.(5),2,6,6,,,,1.35,3.04,06:00,,,,,,https://www.tennisexplorer.com/results/,results
1,869,2025-08-25 14:58:55,06:00,Nakagawa S.,0,3,4,,,,,,06:00,Nakagawa S.,,,,,https://www.tennisexplorer.com/results/,results
1,870,2025-08-25 14:58:55,06:00,Charlton J.,1,6,1,,,,1.35,3.04,06:00,Charlton J.,,,,,https://www.tennisexplorer.com/results/,results
1,871,2025-08-25 14:58:55,06:00,Rai A.(3),0,4,0,,,,,,06:00,,,,,,https://www.tennisexplorer.com/results/,results
1,872,2025-08-25 14:58:55,06:20,Peliwo F.(4),2,6,6,,,,1.30,3.37,06:20,,,,,,https://www.tennisexplorer.com/results/,results
1,873,2025-08-25 14:58:55,06:20,Wang A.(7),0,2,1,,,,,,06:20,,,,,,https://www.tennisexplorer.com/results/,results
1,874,2025-08-25 14:58:55,07:10,Santillan A.(8),2,6,6,,,,1.30,3.37,07:10,,,,,,https://www.tennisexplorer.com/results/,results
1,875,2025-08-25 14:58:55,07:10,Zeng Y.,0,3,1,,,,,,07:10,Zeng Y.,,,,,https://www.tennisexplorer.com/results/,results
1,876,2025-08-25 14:58:55,07:30,Kikuchi Y.(9),2,6,7,,,,1.22,3.93,07:30,,,,,,https://www.tennisexplorer.com/results/,results
1,877,2025-08-25 14:58:55,07:30,Tajima N.,0,3,5,,,,,,07:30,Tajima N.,,,,,https://www.tennisexplorer.com/results/,results
1,878,2025-08-25 14:58:55,07:40,Chen C.,1,1,6,4,,,1.22,3.93,07:40,Chen C.,,,,,https://www.tennisexplorer.com/results/,results
1,879,2025-08-25 14:58:55,07:40,Samrej K.(1),0,6,4,0,,,,,07:40,,,,,,https://www.tennisexplorer.com/results/,results
3,1,2025-08-25 14:58:55,US Open,,,,48,,,,,,,US Open,,,,,https://www.tennisexplorer.com/results/,results
3,2,2025-08-25 14:58:55,US Open,,,,45,,,,,,,US Open,,,,,https://www.tennisexplorer.com/results/,results
3,4,2025-08-25 14:58:55,Zhangjiagang challenger,,,,23,,,,,,,Zhangjiagang challenger,,,,,https://www.tennisexplorer.com/results/,results
3,5,2025-08-25 14:58:55,Como challenger,,,,19,,,,,,,Como challenger,,,,,https://www.tennisexplorer.com/results/,results
3,6,2025-08-25 14:58:55,Mallorca challenger,,,,24,,,,,,,Mallorca challenger,,,,,https://www.tennisexplorer.com/results/,results
3,7,2025-08-25 14:58:55,Porto 2 challenger,,,,20,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,8,2025-08-25 14:58:55,UTR Pro Tennis Series,,,,34,,,,,,,UTR Pro Tennis Series,,,,,https://www.tennisexplorer.com/results/,results
3,9,2025-08-25 14:58:55,UTR Pro Tennis Series 3,,,,79,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,10,2025-08-25 14:58:55,UTR Pro Tennis Series 5,,,,17,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,11,2025-08-25 14:58:55,UTR Pro Tennis Series 8,,,,7,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,12,2025-08-25 14:58:55,UTR Pro Tennis Series 9,,,,52,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,13,2025-08-25 14:58:55,Bytom ITF,,,,24,,,,,,,Bytom ITF,,,,,https://www.tennisexplorer.com/results/,results
3,14,2025-08-25 14:58:55,Oldenzaal ITF,,,,25,,,,,,,Oldenzaal ITF,,,,,https://www.tennisexplorer.com/results/,results
3,15,2025-08-25 14:58:55,Brasov 2 ITF,,,,24,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,16,2025-08-25 14:58:55,Heraklion 4 ITF,,,,17,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,17,2025-08-25 14:58:55,Nakhon Pathom 5 ITF,,,,24,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,18,2025-08-25 14:58:55,Trieste ITF,,,,16,,,,,,,Trieste ITF,,,,,https://www.tennisexplorer.com/results/,results
3,19,2025-08-25 14:58:55,Verbier 2 ITF,,,,21,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,20,2025-08-25 14:58:55,UTR Pro Tennis Series 5,,,,36,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,21,2025-08-25 14:58:55,UTR Pro Tennis Series 9,,,,13,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,22,2025-08-25 14:58:55,Ankara 3 ITF,,,,22,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,23,2025-08-25 14:58:55,Kaltenkirchen ITF,,,,20,,,,,,,Kaltenkirchen ITF,,,,,https://www.tennisexplorer.com/results/,results
3,24,2025-08-25 14:58:55,Luan 8 ITF,,,,25,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,25,2025-08-25 14:58:55,Monastir 50 ITF,,,,25,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,26,2025-08-25 14:58:55,Telavi 7 ITF,,,,24,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
3,27,2025-08-25 14:58:55,UTR Pro Match Series,,,,79,,,,,,,UTR Pro Match Series,,,,,https://www.tennisexplorer.com/results/,results
3,28,2025-08-25 14:58:55,UTR Pro Tennis Series,,,,76,,,,,,,UTR Pro Tennis Series,,,,,https://www.tennisexplorer.com/results/,results
3,29,2025-08-25 14:58:55,UTR Pro Tennis Series 8,,,,15,,,,,,,,,,,,https://www.tennisexplorer.com/results/,results
